"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha",Resultados,"Indicador de resultados","Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor gasto (BRL)",Impressões,Alcance,Término,"Configuração de atribuição","Resultados (iniciais)","Indicador de resultados (inicial)"
2026-08-26,2026-09-24,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida KM 32",active,343,actions:link_click,0.16918367,6,Diário,58.03,10341,8457,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-08-26,2026-09-24,"[MAISVIDA][ENGAJAMENTO][WPP] Institucional Mais Vida Cabuçu",active,247,actions:link_click,0.22797571,6,Diário,56.31,11752,9048,Contínuo,"Clique de 7 dias ou visualização de 1 dia",,
2026-08-26,2026-09-24,"[VIDEX][ENGAJAMENTO][SITE] Seja Videx",active,,,,6,Diário,1.94,207,197,Contínuo,—,,
